Gene ID,Accesion,Control-1,Control-2,Control-3,S7-1,S7-2,S7-3
AT1G01610,Q9LMM0,1047.480632,1223.613407,1227.36441,1043.644292,974.0305399,939.9861574
AT1G02850,A0A2H1ZE91,1341.704336,1141.759337,1191.741696,1049.249256,1023.473715,1037.744718
AT1G02920,Q9SRY5,971.1594455,1152.253449,1053.568746,1561.542963,1454.453387,1494.786876
AT1G02930,P42760,4925.481789,5445.394486,4964.510923,6655.334223,6293.292076,6748.682839
AT1G04680,Q940Q1,1335.067712,1100.832302,1323.437789,1215.15619,1317.660604,1269.190198
AT1G04980,Q9MAU6,478.9430979,524.7055778,532.1817537,661.385749,609.7991536,635.0128708
AT1G05675,P0C7P7,19.90987474,14.69175618,24.827952,22.4198559,23.8975344,19.21749477
AT1G05680,Q9SYK9,113.9287277,120.6822829,83.11966538,177.1168616,158.2181588,175.4640827
AT1G05810,P19892,376.0754117,453.3456192,373.4987561,350.8707448,304.0755239,323.3552381
AT1G05940,A0A1P8AU02,1048.586736,791.2560113,1013.628127,1030.192379,978.9748574,1028.553742
AT1G06570,P93836,401.5158072,358.8986152,340.0349947,374.4115935,350.2224869,287.4268784
AT1G06640,Q9C5K7,1336.173816,1392.568603,1308.325123,1563.784949,1641.513397,1507.320025
AT1G08050,Q9LN03,140.4752273,157.4116733,128.4576647,144.6080705,150.8016826,161.2598474
AT1G08450,F4HW29,943.5068417,958.112385,953.1774615,947.2389117,826.525069,782.068483
AT1G08580,Q9FRS7,1664.686749,2222.652827,1824.314734,2039.085894,1940.644604,1927.59828
AT1G08830,P24704,621.6305335,801.7501228,762.1101787,862.0434593,800.9794288,873.9782406
AT1G08880,O04848,4854.691124,5685.709641,4708.67507,4844.93086,4946.78962,4806.04478
AT1G09140,Q9XFR5,1635.928041,1735.726051,1677.505974,1414.692907,1386.056995,1398.699402
AT1G10200,Q94JX5,2602.66307,3009.711194,2717.041529,2311.487143,2264.497397,2439.786293
AT1G11545,Q8L9A9,2392.503281,2499.697373,2356.496487,2039.085894,2073.317122,1951.829034
AT1G11680,Q9SAA9,4495.207274,3885.969509,4253.136125,5235.036352,5073.693768,4857.848461
AT1G12080,O65370,1778.615477,2337.038643,1801.645734,1385.547095,1253.384477,1280.052261
AT1G12200,Q9FWW9,517.6567432,481.6797204,519.2280396,664.7487274,552.9395028,619.137549
AT1G13420,Q9FX56,48.66858269,49.32232431,60.45066573,51.56566857,50.26722753,52.63922481
AT1G14890,F4HXW0,508.80791,564.5832017,524.6254205,577.3112894,614.7434711,581.5381027
AT1G16030,Q9S9N1,148.2179564,177.3504853,186.7493781,117.7042435,171.4030053,107.7850794
AT1G16400,Q9FUY7,734.453157,755.576032,713.5337509,794.7838916,783.6743177,735.2780609
AT1G17170,Q9SHH6,343.9983913,498.4702989,379.9756132,549.2864695,513.3849631,513.8590994
AT1G17180,Q9SHH7,220.1147263,358.8986152,286.0611861,298.1840834,234.0310265,305.8088299
AT1G17210,Q9SHI0,1319.582253,1178.488728,1364.457884,1262.237887,1288.818752,1325.171596
AT1G17620,Q9LNP3,846.1696764,928.7288727,924.0316048,1039.160321,1046.547196,1031.895915
AT1G19110,Q8L798,576.2802632,478.5314869,568.8839436,477.5429306,424.3872488,411.0872795
AT1G20330,Q39227,3698.812285,3534.416772,3498.582279,3910.022869,4251.288964,3774.148865
AT1G20840,Q96290,1627.079208,1180.58755,1743.354021,1811.524357,1953.005397,1699.494973
AT1G21120,Q9LPU7,91.80664462,111.2375825,86.3580939,143.4870777,116.1914603,132.8513769
AT1G21250,Q39191,465.669848,427.1103403,482.5258497,826.1716899,852.0707092,811.3124967
AT1G21680,Q9XI10,1214.502359,1141.759337,1341.788884,1428.144821,1265.74527,1208.195541
AT1G22060,F4HZS8,533.1422013,423.9621068,487.9232306,415.8883269,421.9150901,447.0156393
AT1G22400,Q9SK82,1470.012418,1365.283913,1365.53736,1822.734285,1743.695958,1778.036038
AT1G22520,Q8LAJ9,1308.521212,1589.857901,1185.264839,1492.04141,1319.308709,1337.704745
AT1G22530,Q56ZI2,3708.767222,3549.108528,3668.060039,3101.787064,3170.131546,3198.459565
AT1G23260,Q93YP0,764.3179691,999.0394201,697.3416083,688.2895761,618.8637356,619.137549
AT1G23860,O81127,1030.88907,1201.575773,984.4822705,1034.67635,1012.761027,1024.376026
AT1G24560,Q8LPK7,395.9852865,421.8632845,404.8035652,439.4291756,364.2313863,462.0554178
AT1G26850,B9DFI7,7139.902302,6214.612863,7034.946225,7199.015729,7411.531875,7461.401232
AT1G27190,O04567,1096.149215,836.380691,1057.88665,1163.590521,1170.979185,1087.04177
AT1G27530,Q9SXC8,2261.982991,2918.412424,2441.775105,2709.439585,2755.632932,2621.934722
AT1G28120,Q8LG98,928.0213836,1079.844079,914.3163192,1073.911098,1021.001556,959.2036522
AT1G28440,Q9SGP2,1690.127144,1556.276744,1668.870165,1690.457135,1821.156932,1625.967166
AT1G28660,Q9FPE4,2738.713881,3172.369923,2836.863385,1699.425077,1797.259397,1921.749477
AT1G29400,Q8VWF5,1305.202899,989.5947197,1387.126883,983.1106811,986.3913336,962.5458252
AT1G29660,Q9C7N5,1394.797336,1426.14976,1526.37931,1211.793211,1128.128434,1173.938268
AT1G30910,Q9FYH8,655.9197622,622.3008152,573.2018483,510.0517217,518.3292806,599.9200542
AT1G31830,Q9C6S5,670.2991162,472.23502,649.8446566,760.033115,743.2957251,661.7502548
AT1G33170,Q9C884,414.789057,374.6397825,367.0218991,401.3154206,490.3114816,437.8246635
AT1G33600,Q9FW48,810.7743435,775.5148439,785.8586545,825.0506971,825.7010161,753.6600124
AT1G34130,Q9FX21,1649.201291,1212.069885,1655.916451,1774.531594,1897.793852,1883.314488
AT1G34260,Q9XID0,294.2237045,227.7222208,275.2664243,337.4188313,309.8438943,293.2756811
AT1G42990,Q9C7S0,826.2598016,910.888883,770.7459881,911.3671423,1006.168603,968.3946279
AT1G43800,Q84VY3,2676.772048,2812.421897,2710.564672,2767.731211,3147.882117,2832.491621
AT1G43910,Q9LP11,617.2061169,601.3125921,697.3416083,847.470553,796.0351113,803.7926075
AT1G45201,Q8L7S1,3866.940116,4102.148207,3820.266179,3317.01768,3082.781937,3268.645198
AT1G48480,Q9LP77,1099.467527,937.1241619,1096.747793,1036.918335,1047.371249,947.5060467
AT1G50010,B9DGT7,10179.47651,9445.749811,9816.756324,10678.57736,10601.44069,10643.14993
AT1G50490,Q8L7T3,1228.881713,1431.396816,1247.874457,1427.023828,1414.898847,1419.587983
AT1G51350,Q8RWE7,481.1553062,419.7644622,605.5861335,461.8490315,442.5164128,489.6283451
AT1G51805,F4IB63,345.1044955,325.3174582,335.71709,338.5398241,257.104508,361.7902277
AT1G51820,C0LGG3,11.06104152,24.13645658,29.14585669,20.17787031,16.48105821,31.75064354
AT1G55160,F4HYQ1,950.1434667,1127.067581,860.3425105,1015.619472,994.6318627,1016.856136
AT1G55450,Q9ZVU4,1213.396255,1417.754471,1313.722504,1318.287527,1362.159461,1182.2937
AT1G55500,A0A1P8AS28,1910.241871,1742.022518,1797.327829,1963.979377,1886.257112,1883.314488
AT1G55750,Q3ECP0,299.7542252,298.0327682,219.1336633,209.6256527,244.7437143,247.3208023
AT1G56220,A0A1P8ASR5,3402.376372,4285.795159,3576.304564,3398.850154,3487.391916,3306.244644
AT1G58270,Q9SLV3,735.5592611,799.6513005,703.8184653,841.865589,827.3491219,858.1029188
AT1G60730,Q9ASZ9,731.1348445,632.7949268,749.1564646,702.8624824,702.0930795,764.5220747
AT1G61770,Q8GUN6,812.9865518,857.3689141,816.0839874,1003.288551,855.3669208,914.9198599
AT1G61800,A0A1P8AN56,4736.337979,4480.985634,4520.846216,2852.926663,2982.247482,2806.58978
AT1G62180,P92981,1723.310269,1145.956982,1685.062307,1571.631898,1600.310752,1688.63291
AT1G62290,A0A1P8AVA7,596.190138,557.2373236,579.6787053,581.7952606,667.4828573,531.4055077
AT1G62380,Q41931,21497.1342,23621.1957,21105.91815,20249.61385,20082.99348,21028.117
AT1G62570,Q93Y23,351.7411204,430.2585738,462.0158024,406.9203846,391.4251324,442.837923
AT1G63050,Q9CAN8,520.9750556,473.2844311,575.3608006,740.9762374,758.9527303,737.7846907
AT1G64400,Q9C7W4,144.8996439,150.0657952,116.5834268,134.5191354,93.94203177,147.0556122
AT1G65310,A0A1P8AQT8,675.8296369,710.4513523,664.9573231,644.5708571,575.1889314,640.8616735
AT1G65690,Q8LD98,138.263019,140.6210948,116.5834268,169.269912,131.8484656,144.5489824
AT1G65840,Q8H191,6362.311083,5742.377843,6140.060477,4047.904982,4079.885959,4080.793238
AT1G65980,Q9XEX2,6812.495473,8147.628212,6945.349702,9250.432544,8711.887367,8921.095291
AT1G66180,Q9C8C9,2693.36361,2300.309253,2527.053723,2706.076607,2765.521567,2508.30084
AT1G67940,Q9C9W0,257.7222674,392.4797722,319.5249474,381.1375503,376.59218,379.336636
AT1G68140,Q9C9X8,997.7059452,1070.399379,972.6080326,1106.419889,1056.435831,1037.744718
